Lugar de estreno,lat,lon
Teatro Rialto de Valencia,39.4710227,-0.3763002
Corral Cervantes de Madrid,40.3940876,-3.6994792
"Teatro Municipal de Almagro, Ciudad Real",38.8903455,-3.7117528
Sala Princioa del Teatro de la Comedia de Madrid,40.4155336,-3.7003923
"Teatro Municipal de Almagro, Ciudad Real",38.8903455,-3.7117528
"Centro Sociocultural Gilitos de Alcalá de Henares, Madrid",40.4921751,-3.3666232
Teatro Karpas de Madrid,40.410462,-3.697682
"Corral de Comedias de Alcalá de Henares, Madrid",40.4822922,-3.3645504
"Casa Palacio de los Villarreal de Almagro, Ciudad Real",38.8885331,-3.7148567
"Teatro Salón Cervantes de Alcalá de Henares, Madrid",40.4834571,-3.3661106
"Antigua Universidad Renacentista de Almadro, Ciudad Real",38.8915937,-3.7148261
Sala Nave 73 de Madrid,40.403178,-3.6987581
Teatro Calderón de Valladolid,41.6539837,-4.7246809
,,
Corral de Comedias,40.4451582,-3.5339127
Teatro Pérez Galdós de Las Palmas de Gran Canaria,28.1034923,-15.4138437
Teatro del Títere de la Tía Norica de Cádiz,36.5321162,-6.2977584
"Corral de Comedias de Almagro, Ciudad Reall",38.8884394,-3.7119119
Verde de los Teatros del Canal de Madrid,40.438279,-3.7051836
Plaza de las Veletas de Cáceres,39.4732379,-6.3702347
"Corral de Comedias de Alcalá de Henares, Madrid",40.4822922,-3.3645504
,,
???,40.4160512,-3.6929536
"Online. Grabado en el Teatro del Soho, Málaga",36.7108625,-4.4294363
sala Tirso de Molina del Teatro de la Comedia de Madrid,40.4155336,-3.7003923
,,
"Dentro de la programación de Barroco Infantil Online del Festival de Teatro Clásico de Almagro
",38.8888239,-3.7111408
,,
Palacio de los Oviedo de Almagro,38.8885331,-3.7148567
Palacio de los Oviedo de Almagro,38.8885331,-3.7148567
Teatro Circo Murcia,37.9877971,-1.1281103
Logroño,42.4602928,-2.4483627
,,
"Almagro, Ciudad Real",38.8888239,-3.7111408
"La Corrala del Mitote, México",19.3541834,-99.1414052
Palacio de los Oviedo de Almagro (Ciudad Real),38.8885331,-3.7148567
Ermita de la Magdalena de Almagro (Ciudad Real),38.8844811,-3.7098712
"TAC Catarroja, Valencia",39.4034449,-0.4095795
Patio de Fúcares de Almagro (Ciudad Real),38.8899191,-3.709986
En un coche Mercedes en Almagro,39.6950163,-3.4636674
,,
Sala Principal del Gran Teatro de Cáceres,39.4731752,-6.3757083
Silo de Almagro (Ciudad Real),38.8942052,-3.7077272
Corral de Comedias de Almagro (Ciudad Real),38.8884394,-3.7119119
,,
,,
Teatro de la Comedia de Madrid,40.4155336,-3.7003923
Teatro Municipal de Almagro (Ciudad Real),38.89053,-3.7119068
,,
Teatro de la Comedia de Madrid.,40.4155336,-3.7003923
Teatro de la Comedia de Madrid.,40.4155336,-3.7003923
,,
