id|Autor/a|Obra|Fecha de estreno|Dirección|Compañía|Festivales|Lugar de estreno|fechaFormat
1|Lope de Vega|La viuda valenciana|30 de marzo de 2023|Adrián Novella|La Valenciana|nan|Teatro Rialto de Valencia|0-00-00
2|Lope de Vega|Fuenteovejuna|30 de junio de 2023|Mariano de Paco Serrano|Teatro Círculo|nan|Corral Cervantes de Madrid|0-00-00
3|Lope de Vega|Lo fingido verdadero. Historia de San Ginés, mártir y comediante; La finzione veritiera|22 de julio de 2022|Luca Vonella|Teatro a Canone|Festival internacional de Teatro Clásico de Almagro|Teatro Municipal de Almagro, Ciudad Real|0-00-00
4|Lope de Vega|Lo fingido verdadero|1 de febrero de 2022|Lluís Homar|Compañía Nacional de Teatro Clásico,CNTC|nan|Sala Princioa del Teatro de la Comedia de Madrid|0-00-00
5|Lope de Vega|La malcasada|14 de julio de 2022|Ana Vélez|Tumbalobos Teatro|Festival internacional de Teatro Clásico de Almagro|Teatro Municipal de Almagro, Ciudad Real|0-00-00
6|Lope de Vega|La hermosa fea|17 de junio de 2022|Gabriel García y Daniel Acebes|Diágoras Producciones|Festival Clásicos en Alcalá|Centro Sociocultural Gilitos de Alcalá de Henares, Madrid|0-00-00
7|Lope de Vega|La discreta enamorada|20 de mayo de 2022|Manuel Carcedo Sama|Karpas Tratro|nan|Teatro Karpas de Madrid|0-00-00
8|Lope de Vega|La dama boba|3 de julio de 2022|Rodrigo Arribas|Fundación Siglo de Oro|Festival internacional de Teatro Clásico de Almagro|Corral de Comedias de Alcalá de Henares, Madrid|0-00-00
9|Lope de Vega|El Perro del Hortelano|15 de julio de 2022|Hugo Giachino|Stayin' alive|Festival internacional de Teatro Clásico de Almagro|Casa Palacio de los Villarreal de Almagro, Ciudad Real|0-00-00
10|Lope de Vega|El marqués de las Navas|19 de junio de 2022|nan|Factoría Teatro|Festival Clásicos de Alcalá|Teatro Salón Cervantes de Alcalá de Henares, Madrid|0-00-00
11|Lope de Vega|El amor enamorad|22 de julio de 2022|Borja Rodríguez|Mic Producciones Teatrales|Festival internacional de Teatro Clásico de Almagro|Antigua Universidad Renacentista de Almadro, Ciudad Real|0-00-00
12|Lope de Vega|Arte nuevo de hacer melindres en estos tiempos|28 de julio de 2022|Juan Polanco|Cía Kazo Teatro|nan|Sala Nave 73 de Madrid|0-00-00
13|Lope de Vega|Peribáñez y el comedor de Ocaña|29 de enero de 2021|Eduardo Vasco|Noviembre Teatro|nan|Teatro Calderón de Valladolid|0-00-00
14|Lope de Vega|Los guanches de Tenerife y conquista de Canaria|24 de junio de 2021|Jesús Román|Cía. Garcilasos|nan|nan|0-00-00
15|Lope de Vega|Las bizarrías de Belisa|23 de julio de 2021|Antonio Alcalde|Clásicos on the Road|Festival internacional de Teatro Clásico de Almagro|Corral de Comedias|0-00-00
16|Lope de Vega|La boba para los otros|8 de octubre de 2021|Rafael Rodríguez|2Rc Producciones|Festival iberoamericano del Siglo de Oro, Festival de Teatro Clásico de Olmedo|Teatro Pérez Galdós de Las Palmas de Gran Canaria|0-00-00
17|Lope de Vega|Fuenteovejuna, historia de un maltrato|16 de octubre de 2021|Marianella Morena|La Morena; Jóvenez Clásicos|nan|Teatro del Títere de la Tía Norica de Cádiz|0-00-00
18|Lope de Vega|El Perro del Hortelano|2 de julio de 2021|Paco Mir|Vània Produccions; Sofía Aguilar Producciones de Arte|Festival internacional de Teatro Clásico de Almagro|Corral de Comedias de Almagro, Ciudad Real|0-00-00
19|Lope de Vega|El Perro del Hortelano|3 de abril de 2021|Dominic Dromgoole|Fundación Siglo de Oro|nan|Verde de los Teatros del Canal de Madrid|0-00-00
20|Lope de Vega|El Caballero de Olmedo|16 de junio de 2021|Pedro Luis López Bellot|Producciones La Barraca & Cía.|Festival de Teatro Clásico de Cáceres|Plaza de las Veletas de Cáceres|0-00-00
21|Lope de Vega|El animal de Hungría|12 de junio de 2021|Ernesto Arias|Colectivo Allatok; EscénaTe|nan|Corral de Comedias de Alcalá de Henares, Madrid|0-00-00
22|nan|nan|nan|nan|nan|nan|nan|0-00-00
23|Lope de Vega|Distrito Fuenteovejuna|Verano 2020|Francisco Valcarce|Movimiento Sempiterno|nan|???|0-00-00
24|Lope de Vega|Canciones de Olmedo|15 de noviembre de 2020|José Carlos Cuevas|Jóvenes Clásicos|Festival LA ESCENA 2020|Online. Grabado en el Teatro del Soho, Málaga|0-00-00
25|Lope de Vega|Arte nuevo de hacer teatro para jóvenes de nuestro tiempo; Eco y Narciso; Valor, agravio y mujer; Fuenteovejuna|4 de marzo de 2021|Mariano Estudillo|Joven Compañía Nacional de Teatro Clásico, JCNTC|"Festival de Teatro Clásico de Almagro
"|sala Tirso de Molina del Teatro de la Comedia de Madrid|0-00-00
26|Lope de Vega|Peribáñez y el comedor de Ocaña|15 de septiembre de 2020|del Colectivo|Dragoi Zuria|nan|nan|0-00-00
27|Lope de Vega|Ni come, ni deja comer|18 de julio de 2020|José Luis Pineda Ortega|Asociación Cultural Teatral A Escena|"Festival de Teatro Clásico de Almagro
"|"Dentro de la programación de Barroco Infantil Online del Festival de Teatro Clásico de Almagro
"|0-00-00
28|Lope de Vega|Mujeres del Siglo de Oro|nan|nan|????????????|nan|nan|0-00-00
29|Lope de Vega|La selva sin amor|18 de julio de 2020|Jesús Caballero|La Máquina Real|"Festival de Teatro Clásico de Almagro
"|Palacio de los Oviedo de Almagro|0-00-00
30|Lope de Vega|La discreta enamorada|19 de julio de 2020|Javier Mañón|Corrales de Comedias Teatro S.L|"Festival de Teatro Clásico de Almagro
"|Palacio de los Oviedo de Almagro|0-00-00
31|Lope de Vega|El discreto enamorao|29 de enero de 2020|Inés Muñoz|Las monstruas|Ciclo Clásicos en Enero, Murcia|Teatro Circo Murcia|0-00-00
32|Lope de Vega|Castelvines y Monteses|16 de octubre de 2020|Sergio Peris-Mencheta|Barco Pirata; Compañía Nacional de Teatro Clásico.CNTC|nan|Logroño|0-00-00
33|Lope de Vega|Todas las guerras|nan|nan|Joven Compañía Nacional de Teatro Clásico, JCNTC|nan|nan|0-00-00
34|Lope de Vega|María Estuardo. Corona trágica|27 de julio de 2019|Manuel Canseco|Compañía Manuel Canseco|"Festival de Teatro Clásico de Almagro
"|Almagro, Ciudad Real|0-00-00
35|Lope de Vega|Los locos de Valencia|15 de febrero de 2019|Antonio Algarra|Compañía Profesional de la Escuela Nacional de Arte Teatral, INBAL|nan|La Corrala del Mitote, México|0-00-00
36|Lope de Vega|La viuda Valenciana|12 de julio de 2019|Borja Rodríguez|Mic Producciones Teatrales|"Festival de Teatro Clásico de Almagro
"|Palacio de los Oviedo de Almagro (Ciudad Real)|0-00-00
